,name,continent
0,Aruba,North America
1,Afghanistan,Asia
2,Angola,Africa
3,Anguilla,North America
4,Albania,Europe
5,Andorra,Europe
6,Netherlands Antilles,North America
7,united Arab Emirates,Asia
8,Argentina,South America
9,Armenia,Asia
10,American Samoa,Oceania
11,Antarctica,Antarctica
12,French Southern territories,Antarctica
13,Antigua and Barbuda,North America
14,Australia,Oceania
15,Austria,Europe
16,Azerbaijan,Asia
17,Burundi,Africa
18,Belgium,Europe
19,Benin,Africa
20,Burkina Faso,Africa
21,Bangladesh,Asia
22,Bulgaria,Europe
23,Bahrain,Asia
24,Bahamas,North America
25,Bosnia and Herzegovina,Europe
26,Belarus,Europe
27,Belize,North America
28,Bermuda,North America
29,Bolivia,South America
30,Brazil,South America
31,Barbados,North America
32,Brunei,Asia
33,Bhutan,Asia
34,Bouvet Island,Antarctica
35,Botswana,Africa
36,Central African Republic,Africa
37,Canada,North America
38,Cocos (Keeling) Islands,Oceania
39,Switzerland,Europe
40,Chile,South America
41,China,Asia
42,Cote dIvoire,Africa
43,Cameroon,Africa
44,"Congo, The Democratic Republic of the",Africa
45,Congo,Africa
46,Cook Islands,Oceania
47,Colombia,South America
48,Comoros,Africa
49,Cape Verde,Africa
50,Costa Rica,North America
51,Cuba,North America
52,Christmas Island,Oceania
53,Cayman Islands,North America
54,Cyprus,Asia
55,Czech Republic,Europe
56,Germany,Europe
57,Djibouti,Africa
58,Dominica,North America
59,Denmark,Europe
60,Dominican Republic,North America
61,Algeria,Africa
62,Ecuador,South America
63,Egypt,Africa
64,Eritrea,Africa
65,Western Sahara,Africa
66,Spain,Europe
67,Estonia,Europe
68,Ethiopia,Africa
69,Finland,Europe
70,Fiji Islands,Oceania
71,Falkland Islands,South America
72,France,Europe
73,Faroe Islands,Europe
74,"Micronesia, Federated States of",Oceania
75,Gabon,Africa
76,united Kingdom,Europe
77,Georgia,Asia
78,Ghana,Africa
79,Gibraltar,Europe
80,Guinea,Africa
81,Guadeloupe,North America
82,Gambia,Africa
83,Guinea-Bissau,Africa
84,Equatorial Guinea,Africa
85,Greece,Europe
86,Grenada,North America
87,Greenland,North America
88,Guatemala,North America
89,French Guiana,South America
90,Guam,Oceania
91,Guyana,South America
92,Hong Kong,Asia
93,Heard Island and McDonald Islands,Antarctica
94,Honduras,North America
95,Croatia,Europe
96,Haiti,North America
97,Hungary,Europe
98,Indonesia,Asia
99,India,Asia
100,British Indian Ocean Territory,Africa
101,Ireland,Europe
102,Iran,Asia
103,Iraq,Asia
104,Iceland,Europe
105,Israel,Asia
106,Italy,Europe
107,Jamaica,North America
