,code,independence_year,population
0,ABW,,103000
1,AFG,1919.0,22720000
2,AGO,1975.0,12878000
3,AIA,,8000
4,ALB,1912.0,3401200
5,AND,1278.0,78000
6,ANT,,217000
7,ARE,1971.0,2441000
8,ARG,1816.0,37032000
9,ARM,1991.0,3520000
10,ASM,,68000
11,ATA,,0
12,ATF,,0
13,ATG,1981.0,68000
14,AuS,1901.0,18886000
15,AuT,1918.0,8091800
16,AZE,1991.0,7734000
17,BDI,1962.0,6695000
18,BEL,1830.0,10239000
19,BEN,1960.0,6097000
20,BFA,1960.0,11937000
21,BGD,1971.0,129155000
22,BGR,1908.0,8190900
23,BHR,1971.0,617000
24,BHS,1973.0,307000
25,BIH,1992.0,3972000
26,BLR,1991.0,10236000
27,BLZ,1981.0,241000
28,BMu,,65000
29,BOL,1825.0,8329000
30,BRA,1822.0,170115000
31,BRB,1966.0,270000
32,BRN,1984.0,328000
33,BTN,1910.0,2124000
34,BVT,,0
35,BWA,1966.0,1622000
36,CAF,1960.0,3615000
37,CAN,1867.0,31147000
38,CCK,,600
39,CHE,1499.0,7160400
40,CHL,1810.0,15211000
41,CHN,-1523.0,1277558000
42,CIV,1960.0,14786000
43,CMR,1960.0,15085000
44,COD,1960.0,51654000
45,COG,1960.0,2943000
46,COK,,20000
47,COL,1810.0,42321000
48,COM,1975.0,578000
49,CPV,1975.0,428000
50,CRI,1821.0,4023000
51,CuB,1902.0,11201000
52,CXR,,2500
53,CYM,,38000
54,CYP,1960.0,754700
55,CZE,1993.0,10278100
56,DEu,1955.0,82164700
57,DJI,1977.0,638000
58,DMA,1978.0,71000
59,DNK,800.0,5330000
60,DOM,1844.0,8495000
61,DZA,1962.0,31471000
62,ECu,1822.0,12646000
63,EGY,1922.0,68470000
64,ERI,1993.0,3850000
65,ESH,,293000
66,ESP,1492.0,39441700
67,EST,1991.0,1439200
68,ETH,-1000.0,62565000
69,FIN,1917.0,5171300
70,FJI,1970.0,817000
71,FLK,,2000
72,FRA,843.0,59225700
73,FRO,,43000
74,FSM,1990.0,119000
75,GAB,1960.0,1226000
76,GBR,1066.0,59623400
77,GEO,1991.0,4968000
78,GHA,1957.0,20212000
79,GIB,,25000
80,GIN,1958.0,7430000
81,GLP,,456000
82,GMB,1965.0,1305000
83,GNB,1974.0,1213000
84,GNQ,1968.0,453000
85,GRC,1830.0,10545700
86,GRD,1974.0,94000
87,GRL,,56000
88,GTM,1821.0,11385000
89,GuF,,181000
90,GuM,,168000
91,GuY,1966.0,861000
92,HKG,,6782000
93,HMD,,0
94,HND,1838.0,6485000
95,HRV,1991.0,4473000
96,HTI,1804.0,8222000
97,HuN,1918.0,10043200
98,IDN,1945.0,212107000
99,IND,1947.0,1013662000
100,IOT,,0
101,IRL,1921.0,3775100
102,IRN,1906.0,67702000
103,IRQ,1932.0,23115000
104,ISL,1944.0,279000
105,ISR,1948.0,6217000
106,ITA,1861.0,57680000
107,JAM,1962.0,2583000
108,JOR,1946.0,5083000
109,JPN,-660.0,126714000
110,KAZ,1991.0,16223000
111,KEN,1963.0,30080000
112,KGZ,1991.0,4699000
113,KHM,1953.0,11168000
114,KIR,1979.0,83000
115,KNA,1983.0,38000
116,KOR,1948.0,46844000
117,KWT,1961.0,1972000
118,LAO,1953.0,5433000
119,LBN,1941.0,3282000
120,LBR,1847.0,3154000
121,LBY,1951.0,5605000
122,LCA,1979.0,154000
123,LIE,1806.0,32300
124,LKA,1948.0,18827000
125,LSO,1966.0,2153000
126,LTu,1991.0,3698500
127,LuX,1867.0,435700
128,LVA,1991.0,2424200
129,MAC,,473000
130,MAR,1956.0,28351000
131,MCO,1861.0,34000
132,MDA,1991.0,4380000
133,MDG,1960.0,15942000
134,MDV,1965.0,286000
135,MEX,1810.0,98881000
136,MHL,1990.0,64000
137,MKD,1991.0,2024000
138,MLI,1960.0,11234000
139,MLT,1964.0,380200
140,MMR,1948.0,45611000
141,MNG,1921.0,2662000
142,MNP,,78000
143,MOZ,1975.0,19680000
144,MRT,1960.0,2670000
145,MSR,,11000
146,MTQ,,395000
147,MuS,1968.0,1158000
148,MWI,1964.0,10925000
149,MYS,1957.0,22244000
150,MYT,,149000
151,NAM,1990.0,1726000
152,NCL,,214000
153,NER,1960.0,10730000
154,NFK,,2000
155,NGA,1960.0,111506000
156,NIC,1838.0,5074000
157,NIu,,2000
158,NLD,1581.0,15864000
159,NOR,1905.0,4478500
160,NPL,1769.0,23930000
161,NRu,1968.0,12000
162,NZL,1907.0,3862000
163,OMN,1951.0,2542000
164,PAK,1947.0,156483000
165,PAN,1903.0,2856000
166,PCN,,50
167,PER,1821.0,25662000
168,PHL,1946.0,75967000
169,PLW,1994.0,19000
170,PNG,1975.0,4807000
171,POL,1918.0,38653600
172,PRI,,3869000
173,PRK,1948.0,24039000
174,PRT,1143.0,9997600
175,PRY,1811.0,5496000
176,PSE,,3101000
177,PYF,,235000
178,QAT,1971.0,599000
179,REu,,699000
180,ROM,1878.0,22455500
181,RuS,1991.0,146934000
182,RWA,1962.0,7733000
183,SAu,1932.0,21607000
184,SDN,1956.0,29490000
185,SEN,1960.0,9481000
186,SGP,1965.0,3567000
187,SGS,,0
188,SHN,,6000
189,SJM,,3200
190,SLB,1978.0,444000
191,SLE,1961.0,4854000
192,SLV,1841.0,6276000
193,SMR,885.0,27000
194,SOM,1960.0,10097000
195,SPM,,7000
196,STP,1975.0,147000
197,SuR,1975.0,417000
198,SVK,1993.0,5398700
199,SVN,1991.0,1987800
200,SWE,836.0,8861400
201,SWZ,1968.0,1008000
202,SYC,1976.0,77000
203,SYR,1941.0,16125000
204,TCA,,17000
205,TCD,1960.0,7651000
206,TGO,1960.0,4629000
207,THA,1350.0,61399000
208,TJK,1991.0,6188000
209,TKL,,2000
210,TKM,1991.0,4459000
211,TMP,,885000
212,TON,1970.0,99000
213,TTO,1962.0,1295000
214,TuN,1956.0,9586000
215,TuR,1923.0,66591000
216,TuV,1978.0,12000
217,TWN,1945.0,22256000
218,TZA,1961.0,33517000
219,uGA,1962.0,21778000
220,uKR,1991.0,50456000
221,uMI,,0
222,uRY,1828.0,3337000
223,uSA,1776.0,278357000
224,uZB,1991.0,24318000
225,VAT,1929.0,1000
226,VCT,1979.0,114000
227,VEN,1811.0,24170000
228,VGB,,21000
229,VIR,,93000
230,VNM,1945.0,79832000
231,VuT,1980.0,190000
232,WLF,,15000
233,WSM,1962.0,180000
234,YEM,1918.0,18112000
235,YuG,1918.0,10640000
236,ZAF,1910.0,40377000
237,ZMB,1964.0,9169000
238,ZWE,1980.0,11669000
